event_id,event_time,user_id,ip_id,device_id,country,auth_method,login_success,is_fraud,fraud_confirmed_at
2450,2025-01-01 00:02:05.094998098,u_0073,ip_u_0073_1,dev_u_0073_0,BY,password,1,0,
18401,2025-01-01 00:19:28.652462376,u_0274,ato_ip_018401,ato_dev_018401,RU,password,1,1,2025-01-03 22:19:28.652462376
7073,2025-01-01 00:35:33.634319983,u_0211,newip_007073,dev_u_0211_0,KZ,app,1,0,
3031,2025-01-01 00:39:14.468897333,u_0091,public_ip_010,dev_u_0091_0,RU,password,1,0,
3550,2025-01-01 00:39:52.573033947,u_0106,ip_u_0106_1,dev_u_0106_0,RU,password,1,0,
18404,2025-01-01 00:44:33.633132587,u_0284,public_ip_017,ato_dev_018404,DE,password,1,1,2025-01-05 17:44:33.633132587
2686,2025-01-01 00:58:52.255480259,u_0081,newip_002686,newdev_002686,RU,password,1,0,
75,2025-01-01 01:00:26.876785997,u_0002,ip_u_0002_1,dev_u_0002_1,KZ,app,1,0,
2263,2025-01-01 01:07:00.712916114,u_0067,ip_u_0067_0,dev_u_0067_0,AM,app,1,0,
14961,2025-01-01 01:08:48.932745763,u_0447,public_ip_024,dev_u_0447_1,AM,password,1,0,
1787,2025-01-01 01:30:32.729270063,u_0053,ip_u_0053_0,dev_u_0053_0,RU,password,1,0,
14858,2025-01-01 01:30:49.048045884,u_0444,public_ip_049,dev_u_0444_0,RU,password,1,0,
12828,2025-01-01 01:53:07.683794362,u_0384,ip_u_0384_0,dev_u_0384_0,RU,password,1,0,
4666,2025-01-01 01:57:27.396690071,u_0139,ip_u_0139_0,dev_u_0139_0,RU,password,1,0,
4537,2025-01-01 02:02:36.848498181,u_0136,ip_u_0136_1,dev_u_0136_0,RU,password,1,0,
18506,2025-01-01 02:09:56.064398799,u_0041,ip_u_0041_1,dev_u_0041_0,RU,app,1,1,2025-01-02 22:09:56.064398799
10402,2025-01-01 02:16:08.807918196,u_0311,ip_u_0311_0,dev_u_0311_0,AM,sms,1,0,
14931,2025-01-01 02:18:09.507345312,u_0446,ip_u_0446_0,dev_u_0446_0,BY,password,1,0,
7820,2025-01-01 02:20:19.504921616,u_0233,ip_u_0233_1,dev_u_0233_0,KZ,sms,1,0,
14087,2025-01-01 02:24:22.744131128,u_0421,public_ip_047,dev_u_0421_2,RU,sms,1,0,
10856,2025-01-01 02:28:42.885807534,u_0325,ip_u_0325_0,newdev_010856,RU,password,1,0,
5100,2025-01-01 02:31:17.878975626,u_0152,ip_u_0152_0,dev_u_0152_0,RU,app,1,0,
14129,2025-01-01 02:32:30.801803845,u_0423,public_ip_024,dev_u_0423_1,RU,password,1,0,
14542,2025-01-01 02:38:25.811647691,u_0435,public_ip_009,dev_u_0435_1,KZ,sms,1,0,
2645,2025-01-01 02:45:04.909294658,u_0080,ip_u_0080_0,dev_u_0080_1,TR,password,0,0,
10482,2025-01-01 02:58:02.395429406,u_0314,ip_u_0314_1,dev_u_0314_0,BY,sms,1,0,
12413,2025-01-01 02:58:50.189048714,u_0372,ip_u_0372_0,dev_u_0372_0,TR,password,1,0,
8955,2025-01-01 02:58:54.743191864,u_0269,ip_u_0269_0,dev_u_0269_0,AM,sms,1,0,
15753,2025-01-01 03:06:35.691409604,u_0471,ip_u_0471_0,dev_u_0471_0,AM,password,1,0,
5697,2025-01-01 03:23:05.936668664,u_0170,ip_u_0170_0,newdev_005697,RU,sms,1,0,
8005,2025-01-01 03:26:57.592322246,u_0239,public_ip_045,dev_u_0239_1,RU,sms,1,0,
11237,2025-01-01 03:35:23.862513033,u_0336,ip_u_0336_0,dev_u_0336_0,AM,sms,1,0,
10910,2025-01-01 03:46:07.169125559,u_0327,ip_u_0327_0,newdev_010910,RU,app,0,0,
9785,2025-01-01 03:47:23.990394275,u_0293,ip_u_0293_1,dev_u_0293_0,AM,password,1,0,
1686,2025-01-01 03:47:44.405391207,u_0050,ip_u_0050_0,dev_u_0050_0,US,app,0,0,
242,2025-01-01 03:56:57.890941871,u_0007,ip_u_0007_0,newdev_000242,RU,sms,1,0,
11253,2025-01-01 04:05:45.730427736,u_0337,ip_u_0337_1,newdev_011253,RU,sms,1,0,
12823,2025-01-01 04:20:16.852639835,u_0383,ip_u_0383_1,dev_u_0383_0,AM,sms,1,0,
9693,2025-01-01 04:29:00.168824952,u_0291,ip_u_0291_0,dev_u_0291_0,DE,sms,1,0,
13952,2025-01-01 04:41:15.398790196,u_0418,public_ip_044,dev_u_0418_0,RU,password,1,0,
13240,2025-01-01 04:43:39.253830788,u_0396,newip_013240,dev_u_0396_1,RU,password,1,0,
664,2025-01-01 04:51:13.186802206,u_0019,ip_u_0019_1,dev_u_0019_0,AM,sms,1,0,
12792,2025-01-01 04:53:02.864211393,u_0383,ip_u_0383_1,newdev_012792,AM,password,1,0,
10642,2025-01-01 04:53:43.995195854,u_0319,ip_u_0319_0,dev_u_0319_0,AM,password,1,0,
14317,2025-01-01 04:59:08.542905211,u_0429,ip_u_0429_0,dev_u_0429_0,BY,sms,1,0,
8130,2025-01-01 05:02:57.542562552,u_0244,newip_008130,dev_u_0244_1,RU,sms,1,0,
1117,2025-01-01 05:07:28.226202160,u_0034,ip_u_0034_1,dev_u_0034_1,BY,app,1,0,
814,2025-01-01 05:16:18.942581876,u_0024,public_ip_023,dev_u_0024_0,RU,password,1,0,
4221,2025-01-01 05:19:18.238995680,u_0126,ip_u_0126_0,dev_u_0126_1,BY,sms,1,0,
2756,2025-01-01 05:23:12.360160230,u_0083,ip_u_0083_1,dev_u_0083_1,KZ,password,0,0,
651,2025-01-01 05:26:17.940784426,u_0019,ip_u_0019_1,dev_u_0019_0,AM,password,1,0,
11087,2025-01-01 05:40:11.815036978,u_0332,ip_u_0332_1,newdev_011087,RU,app,1,0,
2172,2025-01-01 05:40:15.405790006,u_0064,newip_002172,dev_u_0064_0,RU,password,1,0,
8696,2025-01-01 05:40:42.905298909,u_0261,public_ip_043,dev_u_0261_0,RU,app,1,0,
6278,2025-01-01 05:47:47.872932140,u_0187,ip_u_0187_0,dev_u_0187_0,RU,sms,1,0,
3684,2025-01-01 06:02:52.825949999,u_0110,public_ip_042,dev_u_0110_0,RU,password,1,0,
9862,2025-01-01 06:30:43.611635812,u_0296,ip_u_0296_2,dev_u_0296_0,RU,password,1,0,
9100,2025-01-01 06:43:37.387017553,u_0273,ip_u_0273_2,dev_u_0273_0,RU,password,1,0,
18525,2025-01-01 06:46:59.513478030,u_0333,ip_u_0333_1,dev_u_0333_0,RU,password,1,1,2025-01-05 16:46:59.513478030
14484,2025-01-01 06:49:44.395023385,u_0433,public_ip_044,dev_u_0433_0,RU,password,1,0,
624,2025-01-01 06:50:52.018567297,u_0018,ip_u_0018_0,newdev_000624,AM,password,1,0,
1395,2025-01-01 07:05:10.220782032,u_0042,ip_u_0042_1,dev_u_0042_0,RU,password,1,0,
523,2025-01-01 07:06:36.897260859,u_0015,ip_u_0015_0,dev_u_0015_1,RU,password,1,0,
541,2025-01-01 07:10:01.933928898,u_0016,ip_u_0016_0,dev_u_0016_0,BY,sms,1,0,
15505,2025-01-01 07:18:45.440917331,u_0463,ip_u_0463_2,dev_u_0463_0,AM,app,1,0,
8048,2025-01-01 07:20:57.015343728,u_0241,public_ip_017,dev_u_0241_1,AM,sms,1,0,
614,2025-01-01 07:40:48.971261482,u_0018,ip_u_0018_0,dev_u_0018_0,AM,sms,1,0,
14046,2025-01-01 07:48:23.572000671,u_0420,public_ip_026,dev_u_0420_0,RU,sms,1,0,
729,2025-01-01 07:52:42.912948257,u_0021,public_ip_017,dev_u_0021_1,RU,app,1,0,
8142,2025-01-01 07:55:00.353440762,u_0244,public_ip_007,dev_u_0244_0,RU,password,1,0,
4671,2025-01-01 08:09:05.033625545,u_0140,public_ip_008,dev_u_0140_0,BY,password,1,0,
16746,2025-01-01 08:15:13.390929811,u_0108,corp_ip_020,dev_u_0108_1,KZ,password,1,0,
16748,2025-01-01 08:22:56.390929811,u_0002,corp_ip_020,dev_u_0002_0,KZ,app,1,0,
9822,2025-01-01 08:28:02.424301715,u_0294,ip_u_0294_0,dev_u_0294_1,KZ,password,1,0,
8786,2025-01-01 08:29:10.297433697,u_0264,ip_u_0264_0,newdev_008786,RU,password,1,0,
5362,2025-01-01 08:29:44.240973986,u_0160,ip_u_0160_0,dev_u_0160_0,RU,app,1,0,
14990,2025-01-01 08:30:12.343650739,u_0448,ip_u_0448_1,dev_u_0448_0,RU,sms,1,0,
16751,2025-01-01 08:31:32.390929811,u_0264,corp_ip_020,newdev_016751,RU,app,1,0,
16750,2025-01-01 08:38:59.390929811,u_0476,corp_ip_020,dev_u_0476_0,BY,app,1,0,
16749,2025-01-01 08:43:24.390929811,u_0140,corp_ip_020,dev_u_0140_0,BY,password,1,0,
10819,2025-01-01 08:48:18.562826774,u_0324,public_ip_006,dev_u_0324_0,RU,password,1,0,
16747,2025-01-01 08:49:50.390929811,u_0044,corp_ip_020,dev_u_0044_0,RU,app,1,0,
16329,2025-01-01 08:53:37.870571646,u_0488,ip_u_0488_0,dev_u_0488_0,KZ,password,1,0,
1746,2025-01-01 08:57:17.691416111,u_0052,ip_u_0052_0,dev_u_0052_0,RU,sms,1,0,
16752,2025-01-01 08:58:05.390929811,u_0027,corp_ip_020,dev_u_0027_0,RU,sms,1,0,
13967,2025-01-01 08:59:18.040806571,u_0418,public_ip_014,dev_u_0418_0,RU,app,1,0,
3794,2025-01-01 09:01:44.075437030,u_0113,ip_u_0113_0,dev_u_0113_0,TR,password,1,0,
16745,2025-01-01 09:03:39.390929811,u_0289,corp_ip_020,dev_u_0289_0,RU,sms,1,0,
8022,2025-01-01 09:08:03.887422180,u_0240,ip_u_0240_1,dev_u_0240_0,RU,password,1,0,
708,2025-01-01 09:16:00.961693980,u_0021,ip_u_0021_2,dev_u_0021_0,RU,app,1,0,
303,2025-01-01 09:18:18.923705744,u_0009,ip_u_0009_0,dev_u_0009_0,RU,password,1,0,
4920,2025-01-01 09:18:46.505242662,u_0147,ip_u_0147_1,dev_u_0147_1,KZ,password,1,0,
111,2025-01-01 09:20:03.447390137,u_0003,ip_u_0003_0,dev_u_0003_0,RU,sms,1,0,
4490,2025-01-01 09:27:08.201857333,u_0134,ip_u_0134_1,newdev_004490,RU,password,1,0,
3304,2025-01-01 09:27:57.081041569,u_0098,ip_u_0098_2,dev_u_0098_0,KZ,password,1,0,
14640,2025-01-01 09:35:49.103647685,u_0438,public_ip_012,dev_u_0438_0,RU,app,1,0,
11130,2025-01-01 09:38:44.440370127,u_0333,ip_u_0333_0,dev_u_0333_0,RU,app,1,0,
8646,2025-01-01 09:43:51.202160126,u_0260,public_ip_009,dev_u_0260_0,RU,app,1,0,
9653,2025-01-01 09:49:00.795474597,u_0290,ip_u_0290_1,newdev_009653,AM,password,1,0,
11261,2025-01-01 10:02:05.906606595,u_0337,ip_u_0337_0,dev_u_0337_0,RU,password,1,0,
7674,2025-01-01 10:03:10.326883271,u_0229,ip_u_0229_1,dev_u_0229_0,RU,app,1,0,
7039,2025-01-01 10:11:17.766966044,u_0210,ip_u_0210_0,dev_u_0210_0,RU,password,1,0,
6392,2025-01-01 10:12:24.810927263,u_0190,newip_006392,dev_u_0190_1,RU,app,1,0,
12648,2025-01-01 10:16:02.927493874,u_0379,ip_u_0379_1,dev_u_0379_0,RU,sms,1,0,
868,2025-01-01 10:32:55.825311227,u_0026,ip_u_0026_0,dev_u_0026_0,TR,app,0,0,
7210,2025-01-01 10:39:03.202901361,u_0216,newip_007210,dev_u_0216_0,BY,password,0,0,
18579,2025-01-01 10:41:23.542470095,u_0267,ip_u_0267_0,dev_u_0267_1,RU,password,1,1,2025-01-02 17:41:23.542470095
1142,2025-01-01 10:43:13.289328491,u_0035,ip_u_0035_0,dev_u_0035_1,RU,password,1,0,
11916,2025-01-01 10:44:32.568776698,u_0357,ip_u_0357_0,dev_u_0357_0,KZ,sms,1,0,
13318,2025-01-01 10:45:45.124580226,u_0399,ip_u_0399_0,dev_u_0399_1,RU,app,1,0,
851,2025-01-01 10:59:48.353939061,u_0025,ip_u_0025_1,dev_u_0025_0,BY,sms,1,0,
1428,2025-01-01 11:01:15.507384974,u_0043,ip_u_0043_2,dev_u_0043_0,RU,password,1,0,
6593,2025-01-01 11:03:02.340751946,u_0196,ip_u_0196_0,dev_u_0196_0,TR,password,1,0,
12540,2025-01-01 11:13:33.883656707,u_0376,ip_u_0376_0,dev_u_0376_0,GE,password,1,0,
3244,2025-01-01 11:25:54.666298564,u_0097,ip_u_0097_0,dev_u_0097_1,RU,app,1,0,
7137,2025-01-01 11:33:40.601793491,u_0214,ip_u_0214_1,dev_u_0214_0,AM,password,1,0,
4603,2025-01-01 11:36:15.319813857,u_0138,public_ip_046,dev_u_0138_0,RU,sms,1,0,
10542,2025-01-01 12:04:24.098445656,u_0316,ip_u_0316_1,dev_u_0316_0,RU,password,1,0,
1219,2025-01-01 12:11:28.327123968,u_0037,ip_u_0037_1,dev_u_0037_0,BY,password,1,0,
9766,2025-01-01 12:14:09.338569894,u_0293,newip_009766,dev_u_0293_0,AM,password,1,0,
5591,2025-01-01 12:14:21.228064507,u_0167,public_ip_024,dev_u_0167_0,TR,password,1,0,
10327,2025-01-01 12:24:33.850611671,u_0309,ip_u_0309_1,newdev_010327,KZ,password,1,0,
9712,2025-01-01 12:29:58.102749108,u_0291,ip_u_0291_0,newdev_009712,BY,password,1,0,
4680,2025-01-01 13:01:43.754859468,u_0140,public_ip_012,newdev_004680,BY,password,0,0,
486,2025-01-01 13:02:30.821241141,u_0014,ip_u_0014_1,dev_u_0014_0,RU,password,1,0,
6495,2025-01-01 13:06:08.450601783,u_0193,ip_u_0193_0,dev_u_0193_0,RU,password,1,0,
10034,2025-01-01 13:07:32.581274652,u_0300,ip_u_0300_0,dev_u_0300_0,RU,password,1,0,
6171,2025-01-01 13:10:29.528554041,u_0183,ip_u_0183_0,dev_u_0183_0,BY,sms,1,0,
11636,2025-01-01 13:22:05.634309088,u_0348,public_ip_005,dev_u_0348_0,KZ,sms,1,0,
8092,2025-01-01 13:38:09.198401502,u_0242,ip_u_0242_1,dev_u_0242_1,RU,password,1,0,
5194,2025-01-01 13:54:00.090358980,u_0155,ip_u_0155_1,dev_u_0155_1,BY,sms,1,0,
3653,2025-01-01 13:56:24.848981210,u_0109,ip_u_0109_0,dev_u_0109_0,KZ,password,0,0,
2566,2025-01-01 14:07:45.696067875,u_0077,newip_002566,dev_u_0077_0,RU,password,1,0,
12189,2025-01-01 14:07:48.439073174,u_0365,newip_012189,dev_u_0365_0,RU,sms,1,0,
2280,2025-01-01 14:27:41.443200219,u_0068,ip_u_0068_0,dev_u_0068_0,RU,sms,1,0,
1004,2025-01-01 14:44:44.344520306,u_0030,ip_u_0030_0,dev_u_0030_0,RU,password,1,0,
13460,2025-01-01 14:48:11.214203971,u_0403,ip_u_0403_1,dev_u_0403_1,RU,sms,1,0,
16365,2025-01-01 15:00:34.541314743,u_0489,public_ip_029,dev_u_0489_0,RU,password,1,0,
5560,2025-01-01 15:04:11.171361824,u_0166,public_ip_004,dev_u_0166_0,RU,password,1,0,
2998,2025-01-01 15:06:34.126270628,u_0090,ip_u_0090_0,dev_u_0090_0,KZ,app,1,0,
2743,2025-01-01 15:29:28.835082632,u_0082,public_ip_030,dev_u_0082_1,RU,password,1,0,
15851,2025-01-01 15:47:19.146077007,u_0474,newip_015851,dev_u_0474_0,KZ,sms,1,0,
3362,2025-01-01 15:52:29.315043694,u_0100,ip_u_0100_0,newdev_003362,BY,password,1,0,
5538,2025-01-01 15:53:54.308689483,u_0165,ip_u_0165_0,dev_u_0165_0,RU,app,1,0,
4091,2025-01-01 16:37:47.850776978,u_0122,ip_u_0122_1,dev_u_0122_0,KZ,password,1,0,
7554,2025-01-01 16:45:59.686748568,u_0226,public_ip_028,newdev_007554,RU,password,1,0,
14661,2025-01-01 16:58:26.835547151,u_0438,ip_u_0438_0,newdev_014661,RU,sms,1,0,
15856,2025-01-01 17:01:24.545926313,u_0474,ip_u_0474_2,dev_u_0474_0,KZ,app,1,0,
9971,2025-01-01 17:29:31.344580362,u_0299,ip_u_0299_2,dev_u_0299_0,RU,password,0,0,
15366,2025-01-01 17:30:01.456605646,u_0459,ip_u_0459_1,dev_u_0459_1,RU,sms,1,0,
13498,2025-01-01 17:37:40.512557231,u_0404,ip_u_0404_0,dev_u_0404_0,RU,password,1,0,
95,2025-01-01 17:45:26.745895600,u_0002,public_ip_036,dev_u_0002_1,US,sms,1,0,
5228,2025-01-01 17:47:23.592076811,u_0156,ip_u_0156_1,dev_u_0156_0,RU,password,0,0,
7602,2025-01-01 17:54:09.419480820,u_0227,newip_007602,dev_u_0227_0,RU,password,1,0,
16496,2025-01-01 17:57:22.510498247,u_0493,ip_u_0493_0,dev_u_0493_0,RU,password,1,0,
5158,2025-01-01 18:01:35.324268026,u_0154,ip_u_0154_2,dev_u_0154_0,RU,sms,1,0,
5583,2025-01-01 18:14:27.857345949,u_0166,ip_u_0166_0,dev_u_0166_0,RU,app,1,0,
10716,2025-01-01 18:19:07.197989898,u_0321,newip_010716,dev_u_0321_0,RU,sms,1,0,
5365,2025-01-01 18:23:39.089791838,u_0160,newip_005365,dev_u_0160_0,RU,app,1,0,
2863,2025-01-01 18:47:37.709860833,u_0086,ip_u_0086_2,dev_u_0086_0,KZ,password,1,0,
4725,2025-01-01 18:50:14.775232008,u_0141,ip_u_0141_1,dev_u_0141_0,RU,password,1,0,
